Month;Harga (000)
09-05-20;17.0
10-05-20;17.0
11-05-20;17.0
12-05-20;17.0
13-05-20;17.0
14-05-20;17.0
15-05-20;19.0
16-05-20;19.0
17-05-20;23.0
18-05-20;27.0
19-05-20;28.0
20-05-20;29.0
21-05-20;29.0
22-05-20;29.0
23-05-20;29.0
24-05-20;29.0
25-05-20;29.0
26-05-20;30.0
27-05-20;30.0
28-05-20;30.0
29-05-20;30.0
30-05-20;30.0
31-05-20;30.0
01-06-20;30.0
02-06-20;30.0
03-06-20;30.0
04-06-20;30.0
05-06-20;30.0
06-06-20;30.0
07-06-20;30.0
08-06-20;30.0
09-06-20;30.0
10-06-20;30.0
11-06-20;30.0
12-06-20;30.0
13-06-20;30.0
14-06-20;30.0
15-06-20;30.0
16-06-20;30.0
17-06-20;30.0
18-06-20;30.0
19-06-20;30.0
20-06-20;30.0
21-06-20;30.0
22-06-20;30.0
23-06-20;30.0
24-06-20;30.0
25-06-20;30.0
26-06-20;30.0
27-06-20;30.0
28-06-20;30.0
29-06-20;30.0
30-06-20;30.0
01-07-20;30.0
02-07-20;30.0
03-07-20;30.0
04-07-20;30.0
05-07-20;30.0
06-07-20;30.0
07-07-20;30.0
08-07-20;30.0
09-07-20;30.0
10-07-20;30.0
11-07-20;30.0
12-07-20;30.0
13-07-20;28.0
14-07-20;28.0
15-07-20;28.0
16-07-20;23.0
17-07-20;23.0
18-07-20;22.0
19-07-20;19.0
20-07-20;19.0
21-07-20;21.0
22-07-20;22.0
23-07-20;22.0
24-07-20;22.0
25-07-20;22.0
26-07-20;22.0
27-07-20;22.0
28-07-20;22.0
29-07-20;23.0
30-07-20;23.0
31-07-20;23.0
01-08-20;23.0
02-08-20;23.0
03-08-20;23.0
04-08-20;23.0
05-08-20;18.0
06-08-20;18.0
07-08-20;18.0
08-08-20;18.0
09-08-20;17.0
10-08-20;17.0
11-08-20;17.0
12-08-20;17.0
13-08-20;17.0
14-08-20;17.0
15-08-20;15.0
16-08-20;15.0
17-08-20;15.0
18-08-20;
19-08-20;
20-08-20;
21-08-20;
22-08-20;
23-08-20;
24-08-20;
25-08-20;
26-08-20;
27-08-20;
28-08-20;
29-08-20;
30-08-20;
31-08-20;
01-09-20;
02-09-20;
03-09-20;
04-09-20;
05-09-20;
06-09-20;
07-09-20;
08-09-20;
09-09-20;
10-09-20;
11-09-20;
12-09-20;
13-09-20;
14-09-20;
15-09-20;
16-09-20;
17-09-20;
18-09-20;
19-09-20;
20-09-20;
21-09-20;
22-09-20;
23-09-20;
24-09-20;
25-09-20;
26-09-20;
27-09-20;
28-09-20;
29-09-20;
30-09-20;
01-10-20;
02-10-20;
03-10-20;
04-10-20;
05-10-20;
06-10-20;
07-10-20;
08-10-20;
09-10-20;
10-10-20;
11-10-20;
12-10-20;
13-10-20;
14-10-20;
15-10-20;
16-10-20;
17-10-20;
18-10-20;
19-10-20;
20-10-20;
21-10-20;
22-10-20;
23-10-20;
24-10-20;
25-10-20;
26-10-20;
27-10-20;
28-10-20;
29-10-20;
30-10-20;
31-10-20;
01-11-20;
02-11-20;
03-11-20;
04-11-20;
05-11-20;
06-11-20;
07-11-20;
08-11-20;
09-11-20;
10-11-20;
11-11-20;
12-11-20;
13-11-20;
14-11-20;
15-11-20;
16-11-20;
17-11-20;
18-11-20;
19-11-20;
20-11-20;
21-11-20;
22-11-20;
23-11-20;
24-11-20;
25-11-20;
